,id,year,time_x,longitude,latitude,albedo,dist,time_y,elevation,slope,aspect,hillshade,time_end,duration,month,distance
count,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0,64396.0
mean,299327.36388906144,2013.9514876700416,1405035151527.9136,-45.70129919929771,70.35790181344177,0.5491951749385641,20760.549982289605,1404999221090.725,1069.0896990607198,2.8464051319208843,202.0835838919005,181.60751066135057,1405014277230.7493,33.98911423069756,7.378750533827656,20.760549982289607
std,198157.1053135926,1.683684132616313,53112908380.67645,11.835575391243376,6.447159638142903,0.055134839291059355,19006.891315544002,53137238182.03521,436.73743204420913,4.175655991249665,98.25666616984029,10.405651062405317,53121603557.866,17.224277224198506,0.4524721591219762,19.006891315544003
min,5.0,2010.0,1277998301688.0,-72.42087564855386,60.266669854416726,0.4500045349399248,2.14971922237,1277424000000.0,8.443714809417724,0.0,0.0,12.0,1277856000000.0,0.0,7.0,0.00214971922237
25%,159623.75,2012.0,1345386412646.0,-49.664483376652896,65.97968556683165,0.5034794372461737,6048.466174845,1345507200000.0,790.3186645507812,1.0,125.94285714285715,179.0,1345507200000.0,24.0,7.0,6.048466174845
50%,197831.0,2014.0,1407336543916.0,-48.97093906154842,67.34952654358551,0.5481277131525094,15014.58487725,1407191040000.0,1143.704833984375,2.0,222.0,182.0,1407196800000.0,39.0,7.0,15.014584877250002
75%,411858.0,2015.0,1438621168008.0,-44.219143161023496,77.37364713601843,0.5962821541436018,30653.355819649998,1438646400000.0,1397.2028198242188,3.0,281.0,184.75,1438646400000.0,48.0,8.0,30.65335581965
max,699950.0,2016.0,1472670959686.0,-13.004326463263636,82.6587054470788,0.6499950197935107,198284.554994,1472860800000.0,2290.24072265625,84.0,359.0,255.0,1472860800000.0,61.0,8.0,198.28455499400002
,id,year,time_x,longitude,latitude,albedo,dist,time_y,elevation,slope,aspect,hillshade,time_end,duration,month,distance
count,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0,38604.0
mean,244431.4537871723,2013.7371515905088,1398641038918.8237,-44.02610643191676,67.94470069271284,0.35273432467616933,13943.675195922779,1398626076416.6106,928.1294521296934,3.7058836190218343,200.183988376124,181.43302745409565,1398647593495.675,39.75095844990157,7.523731875772274,13.943675195922781
std,141043.73755802115,1.6905352454411777,53282846987.39386,10.299318503939856,5.446541796604558,0.07295774483575333,13294.21362461978,53276645752.472404,396.55752312933873,5.573834148024659,95.1825653456273,13.148193727715752,53270536890.62887,13.342828720780554,0.4702156838228132,13.294213624619779
min,142.0,2009.0,1250602572204.0,-72.57098413253023,60.26613086524626,0.0300811485631391,0.142907463474,1250380800000.0,0.7916539907455444,0.0,0.0,22.0,1250380800000.0,0.0,7.0,0.000142907463474
25%,151753.0,2012.0,1345214281515.0,-49.6073505245829,65.12963227135145,0.3107213609760095,2448.78783563,1345248000000.0,673.3710065569196,1.0,130.0,178.0,1345248000000.0,32.0,7.0,2.4487878356299997
50%,209673.0,2014.0,1405397089653.4165,-49.03063211217817,66.91240632633296,0.36800556112825866,9570.41446875,1405404000000.0,1012.768798828125,2.0,217.0,182.0,1405422514285.7144,40.0,7.5,9.57041446875
75%,331789.0,2016.0,1467773521367.0,-42.52159676862283,68.18549874698714,0.41136842862553885,22528.6270084,1467936000000.0,1214.5001831054688,4.0,276.0,185.0,1467936000000.0,49.0,8.0,22.528627008399997
max,699328.0,2016.0,1472665098193.0,-13.480523395375394,82.7045195265689,0.4499965235938629,86605.4157866,1472860800000.0,2212.658203125,86.0,359.0,255.0,1472860800000.0,61.0,8.0,86.6054157866
,id,year,time_x,longitude,latitude,albedo,dist,time_y,elevation,slope,aspect,hillshade,time_end,duration,month,distance
count,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0,27062.0
mean,311113.7589609046,2014.239745768975,1414049908670.0571,-52.33115689484296,72.40030809905089,0.5602308566324284,11549.70941027164,1414017826207.1724,821.9882534522396,4.706768566601611,193.14754852993835,180.85508713525203,1414030725207.5864,30.133397383785383,7.388846746676788,11.549709410271639
std,258729.58611311787,1.7023269098881777,53648417556.94073,11.702265820234324,6.173321975918295,0.05352075232080438,13475.97839016528,53671780421.13481,398.8305470481842,5.771026318576837,101.91777980155196,15.357001406376718,53658183625.08364,17.622754844820058,0.4391733920675598,13.475978390165281
min,6.0,2010.0,1278093254641.0,-72.55562294117179,60.138659926429696,0.4500200133651494,3.4368585206699995,1277769600000.0,8.629861831665039,0.0,0.0,27.0,1277856000000.0,0.0,7.0,0.0034368585206699994
25%,32435.0,2013.0,1374465753771.0,-64.99933163938992,66.44139716498698,0.5180493133863435,2703.7130838425,1374364800000.0,538.1328491210937,1.3333333333333333,110.0,176.66666666666666,1374451200000.0,16.0,7.0,2.7037130838425
50%,198261.5,2015.0,1437055173451.0,-50.08112200542753,74.51552231229954,0.5650095710203051,7284.81138379,1437004800000.0,832.7693710327148,3.0,202.0,181.0,1437004800000.0,32.0,7.125,7.28481138379
75%,579345.5,2016.0,1468689990585.0,-42.39554067637877,76.93248449998732,0.6051443227104845,15290.788758724999,1468627200000.0,1089.8621520996094,5.625,282.1153846153846,186.0,1468627200000.0,44.0,8.0,15.290788758725
max,699923.0,2016.0,1472665098193.0,-14.027327908818949,82.62744407519145,0.6499882688462737,178350.27078,1472860800000.0,2213.44580078125,82.0,359.0,255.0,1472860800000.0,61.0,8.0,178.35027078
,id,year,time_x,longitude,latitude,albedo,dist,time_y,elevation,slope,aspect,hillshade,time_end,duration,month,distance
count,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0,9102.0
mean,373338.3069655021,2013.6582069874753,1396208549612.744,-45.74608599439728,68.74686449521872,0.3471477874281822,6145.747512149259,1396195671840.3992,645.8000942728338,7.37583091332908,176.11707859463237,180.2089846584453,1396209136283.064,37.978905735003295,7.530125838638044,6.145747512149259
std,215891.2769294182,1.817085582785544,57191502608.02918,11.605504793991768,5.712348418922987,0.08050358950694915,8663.526007137682,57198941056.15612,386.99205152544323,8.334274718735992,99.84116290106991,21.249456530761037,57186034728.411446,13.907949023059876,0.4540906984982724,8.66352600713768
min,103.0,2010.0,1278093254641.0,-72.62892546835593,60.138659926429696,0.0926922130510211,0.245684622608,1278028800000.0,7.109460353851318,0.0,0.0,23.0,1277856000000.0,0.0,7.0,0.000245684622608
25%,168238.75,2012.0,1343923677117.0,-50.28054799850207,63.9357038851103,0.29297173096488105,832.67890860325,1344124800000.0,328.02120513916014,2.0,94.0,173.0,1344124800000.0,32.0,7.0,0.83267890860325
50%,403452.0,2014.0,1407333588127.75,-42.448226867792364,66.54400722831554,0.3676220106499004,2638.18006441,1407369600000.0,611.5715515136719,4.0,176.0,180.0,1407369600000.0,40.0,7.5,2.63818006441
75%,547414.0,2015.0,1439031649412.932,-37.813930606430276,74.4054337742307,0.41485592705090535,7774.45782629,1438905600000.0,907.4694671630859,9.0,257.0,187.0,1438905600000.0,48.0,8.0,7.774457826290001
max,698492.0,2016.0,1472392439171.0,-16.961315458281717,82.65816645790834,0.4499915913536151,75986.0973962,1472428800000.0,2072.1533203125,67.0,359.0,255.0,1472428800000.0,60.0,8.0,75.9860973962
